date,station,observer,gravimeter,runn,level_1,level_2,delta_g,std,source
10/24/2014,Sochi,IAO,CG-5 #0443,1,258,678,-140.6,,
10/24/2014,Sochi,IAO,CG-5 #0443,1,258,1165,-299.9,,
10/30/2014,Sochi,IAO,CG-5 #0443,2,263,713,-153.2,,
10/31/2015,Sochi,AVP,CG-5 #1265,3,261,711,-154.7,,
10/31/2015,Sochi,AVP,CG-5 #1265,4,261,1291,-345,,
10/31/2015,Sochi,AVP,CG-5 #1265,5,711,1292,-193.8,,
10/31/2015,Sochi,RAS,CG-5 #1262,6,261,710,-154.9,,
10/31/2015,Sochi,RAS,CG-5 #1262,7,710,1293,-190.1,,
10/31/2015,Sochi,RAS,CG-5 #1262,8,261,1293,-345.7,,
